episode,reward,avg_reward_100
893,5006.83,4999.10
894,5001.41,5000.37
895,4995.40,4999.81
896,4972.26,5000.97
897,4987.39,5000.37
898,5175.82,5002.45
899,4828.93,5002.53
900,5113.37,5004.63
901,5005.88,5005.39
902,5008.33,5005.73
903,5132.26,5007.16
904,4850.00,5003.78
905,4954.07,5003.45
906,5270.31,5005.43
907,5241.56,5009.03
908,5061.80,5011.14
909,5001.66,5011.79
910,4936.63,5012.04
911,5028.76,5012.94
912,5133.50,5016.33
913,5212.90,5019.19
914,4919.36,5020.22
915,4883.70,5019.27
916,5087.77,5020.24
917,5233.64,5023.70
918,5111.65,5026.45
919,5000.63,5026.40
920,5130.85,5027.99
921,5033.25,5028.18
922,5203.87,5030.57
923,5107.07,5032.11
924,5213.26,5035.07
925,5131.50,5037.30
926,5002.33,5037.51
927,5312.01,5040.09
928,5230.83,5042.31
929,5145.16,5045.42
930,5164.49,5047.60
931,5022.41,5046.69
932,5063.09,5047.81
933,4991.56,5048.08
934,5108.21,5047.60
935,5074.27,5049.03
936,5239.22,5051.13
937,5189.35,5053.15
938,5184.45,5055.22
939,5096.10,5054.46
940,5059.84,5055.01
941,5244.27,5055.96
942,1769.65,5024.35
943,4983.85,5024.61
944,5176.47,5024.20
945,5127.59,5026.52
946,5056.65,5025.47
947,3114.87,5006.21
948,5194.18,5007.20
949,5034.66,5008.45
950,5136.73,5007.46
951,5092.80,5009.44
952,5092.01,5010.22
953,5176.02,5012.06
954,5346.41,5013.64
955,5151.31,5014.72
956,5147.81,5016.38
957,5276.27,5017.71
958,5186.56,5019.74
959,5234.94,5021.05
960,5051.81,5021.19
961,5230.81,5020.99
962,5197.54,5021.90
963,5225.01,5024.44
964,5310.77,5028.18
965,5260.83,5031.15
966,4882.28,5030.38
967,5216.04,5032.23
968,5170.15,5034.42
969,5089.75,5036.67
970,5165.75,5039.13
971,5224.34,5040.39
972,4935.99,5039.29
973,5004.13,5039.04
974,5153.45,5042.82
975,5215.70,5044.87
976,5129.97,5047.90
977,5117.00,5048.36
978,5222.28,5049.17
979,5129.77,5050.67
980,5272.10,5054.10
981,5128.38,5056.31
982,4981.65,5054.15
983,5037.05,5053.95
984,5108.83,5055.67
985,5040.35,5053.41
986,5208.44,5053.58
987,5327.67,5054.98
988,5149.07,5056.31
989,5236.42,5058.41
990,5257.72,5060.27
991,5293.05,5063.30
992,5252.48,5066.29
993,5349.42,5069.71
994,5267.32,5072.37
995,5195.90,5074.38
996,5034.73,5075.00
997,5149.93,5076.63
998,5054.23,5075.41
999,5222.02,5079.34
